Latitude,Longitude,Name,Phone 1,Phone 2,Block,Sarpanch,Mobile,Population
15.61842882,73.9020997,Assonora,2215263,,,,,
15.58213874,73.82183325,Bastora,2260003,,,,,
15.54363688,73.76554204,Calangute,2276016,,,,,
15.64407321,73.80209498,Camurlim,2212171,,,,,
15.51858042,73.76768441,Candolim,2489061,,,,,
15.64480262,73.83645877,Colvale,2299817,,,,,
15.57057448,73.80447369,Guirim,2263565,,,,,
15.59486387,73.83870167,Moira,2470344,,,,,
15.591583,73.85527559,Nachinola,2293500,,,,,
15.67135986,73.86080136,Nadora,2211189,,,,,
15.51017326,73.78298811,Nerul,2401979,,,,,
15.63416583,73.77115251,Oxel,2272272,,,,,
15.57398667,73.79369281,Parra,2472089,,,,,
15.51937183,73.84677179,Penha-de France,2417822,2417213,,,,
15.51966792,73.80551464,Pilerne-Marra,2407466,,,,,
15.66870442,73.88161173,Pirna,2210101,,,,,
15.56160793,73.86457804,Pomburpa-Olaulim,2295244,,,,,
15.50756085,73.80974518,Reis-Magos,2402332,,,,,
15.65143054,73.85071188,Revora,2299501,,,,,
15.54732972,73.78933688,Saligao,2278374,,,,,
15.53181096,73.85731848,Salvador do Mundo,2417821,,,,,
15.54285812,73.81051529,Sangolda,2417823,,,,,
15.61985958,73.76846037,Siolim-Marna,2272205,,,,,
15.62114862,73.79555092,Siolim-Sodiem,2272278,,,,,
15.62448415,73.87962756,Sirsaim,2298339,,,,,
15.54621292,73.82330545,Socorro,2417304,,,,,
15.62272681,73.85604141,Tivim,2298595,,,,,
15.57852052,73.83174487,Ucassaim-Paliem-Punola,2261825,,,,,
15.58149381,73.79215372,Verla Canca,2472009,,,,,
15.40435017,73.98476229,Bandora,2335102,,,,,
15.38707103,74.04439725,Betora-Nirankal,2330030,,,,,
15.51449779,73.97376533,Betqui-Candola,2287860,,,,,
15.4779087,73.96243043,Bhoma-Adcolna,2395216,,,,,
15.36744049,74.00326007,Borim,2333233,,,,,
15.44921713,73.95422225,Cundaim,2395344,,,,,
15.42561533,74.04629433,Curti-Khandepar,2313103,2345010,,,,
15.37145737,73.97503924,Durbhat,2325053,,,,,
15.42247123,73.94980202,Marcaim,2392256,,,,,
15.28501608,74.08094937,Panchawadi,2309680,,,,,
15.3899969,73.99426392,Queula,2313176,,,,,
15.71780812,73.69508315,Querim,2340362,,,,,
15.31947605,74.02925343,Shiroda,2306230,,,,,
15.51481469,73.96103924,Tivre-Orgao,2287734,,,,,
15.44185653,74.06523105,Usgao-Ganjem,2344213,2345139,,,,
15.4399358,73.9782374,Veling-Priol-Cuncoliem,2343409,,,,,
15.48359939,74.01765289,Verem-Vaghurme,2340234,,,,,
15.49458335,74.01330251,Volvoi,2340810,,,,,
15.37620533,73.97594838,Wadi-Talaulim,2325047,,,,,
15.33937182,74.20618807,Collem,2600245,,,,,
15.39169219,74.12207023,Dharbandora,2614080,,,,,
15.33264923,74.11209121,Kirlapal-Dabal,2618267,,,,,
15.37576132,74.22641131,Mollem,2612235,,,,,
15.41014546,74.17199549,Sancordem,2611120,,,,,
15.18666112,74.12848945,Bhati,2607337,,,,,
15.29035592,74.18363845,Kalay,2601204,,,,,
15.12966179,74.20825104,Curdi-Vadem,2609243,,,,,
15.09460059,74.21592846,Neturlim,2608227,,,,,
15.16647986,74.10770933,Rivona,2602227,,,,,
15.26897033,74.11415144,Sanvordem,2605176,,,,,
15.22466827,74.17142429,Uguem,2604213,,,,,
15.19404507,74.05544891,Ambaulim,2662270,,,,,
15.25836901,74.06819228,Assolda,2757770,,,,,
15.23510547,74.05112972,Avedem-Cothombi-Chaifi,2663160,,,,,
15.16326654,74.04745835,Balli-Adnem,2670210,,,,,
15.09267183,74.01237313,Barcem-Quedem,2673034,,,,,
15.11476362,74.00056551,Caurem-Pirla,3223457,,,,,
15.14367955,73.9985081,Fatorpa-Quitol,2955331,,,,,
15.18658803,74.12779644,Molcornem,2678230,,,,,
15.11279261,73.98491094,Morpirla,2670452,,,,,
15.13552608,73.95478137,Naqueri-Betul,2676135,,,,,
15.27972849,74.07498319,Xeldem,2662230,,,,,
15.0504019,73.99812589,Agonda,2647357,,,,,
15.07260504,73.96794727,Cola,2647213,,,,,
15.00751288,74.16552815,Cotigao,2639166,,,,,
15.03425621,74.12068431,Gaondongrem,2649385,,,,,
14.94236704,74.06916587,Loliem-Polem,2640247,,,,,
14.97178794,74.08929835,Poinguinim,2641205,,,,,
15.00886971,74.07138698,Shristhal,2633380,,,,,
15.16762142,73.97738257,Ambelim,2773232,,,,,
15.18630633,73.94703937,Assolna,2773278,,,,,
15.25965085,73.97924068,Aquem-Baixo,2766343,,,,,
15.30102914,73.9196909,Betalbatim,2880036,,,,,
15.6440675,73.80209811,Camurlim,2777019,,,,,
15.25880022,73.93104993,Cana-Benaulim,2770164,,,,,
15.2034831,73.95148944,Carmona,2744692,,,,,
15.18630817,73.94703858,Cavelossim,2871521,,,,,
15.2609333,74.04443789,Chnador-Cavorim,2784250,,,,,
15.21055609,73.97736706,Chinchinim,2863283,,,,,
15.27903344,73.92240352,Colva,2788485,,,,,
15.2882053,74.02170626,Curtorim,2786283,,,,,
15.26987443,73.98728033,Davorlim-Dicarpale,2753084,,,,,
15.23836102,73.98140412,Dramapur-Sirlim,2765060,,,,,
15.26810305,74.04869089,Guirdolim,2784235,,,,,
15.34190865,73.98384482,Loutulim,2777018,,,,,
15.28953263,74.05660281,Macasana,2786269,,,,,
15.25490689,73.96640681,Navelim,2726404,,,,,
15.30735879,73.9451708,Nuvem,2790103,,,,,
15.21675126,73.95005203,Orlim,2745020,,,,,
15.20741439,74.06914981,Paroda,2869511,,,,,
15.30886519,74.01035313,Rachol,2776020,,,,,
15.31552684,73.98486083,Raia,2776183,,,,,
15.27533572,73.98292562,Rumadamol-Davorlim,2752015,,,,,
15.25891117,74.00691973, Sao Jose De Areal,2860372,,,,,
15.22137128,73.9954144,Sarzora,2864097,,,,,
15.28875408,73.94045935,Seraulim,2788765,,,,,
15.37619713,73.97594632,Telaulim,2726403,,,,,
15.23157455,73.94303184,Varca,2745057,,,,,
15.16591509,73.97550433,Velim,2773231,,,,,
15.34541998,73.89798754,Cansaulim-Arossim-Cuelim,,,,,,
15.39843112,73.84429179,Chicalim,2754048,,,,,
15.37049464,73.83708468,Chicolna,2540226,,,,,
15.39738913,73.91444479,Cortalim,2538952,,,,,
15.31392452,73.92105976,Majorda-Utorda-Calata,2550247,,,,,
15.35571069,73.92700206,Nagoa,2881435,,,,,
15.38637106,73.90038561,Sancoale,2783736,,,,,
15.35453467,73.89038474,Velsao-Pale-Issorcim,2550221,,,,,
15.36646267,73.94700823,Verna,2754066,,,,,
15.38489412,73.93981462,Quelossim,,,,,,
