Latitude,Longitude,Type,Name,Phone_1,Phone_2,Email_1,Email_2,Total Beds,ICU Beds,Oxygen Beds,Ventilators,Trauma Care,Blood Bank,Ambulance Available,Medical Super Name
15.402387,73.794232,UHC,Vasco,8322513207,8322500606,uhcvasco-heal.goa@nic.in,uhcvasco@hotmail.com,0,,,,,,,
15.279295,73.959585,UHC,Margao,8322715004,8322711800,uhcmargao-heal.goa@nic.in,uhcmargao@hotmail.com,0,,,,,,,
15.592975,73.814567,UHC,Mapusa,8322262226,,uhcmapusa-heal.goa@nic.in,uhcmapusa@hotmail.com,0,,,,,,,
15.497878,73.826346,UHC,Panaji,8322426495,8322421327,uhcpanaji-heal.goa@nic.in,uhcpanaji@hotmail.com,0,,,,,,,
15.402410,73.794225,UHC,Vasco,8322513207,8322500606,uhcvasco-heal.goa@nic.in,uhcvasco@hotmail.com,0,,,,,,,
15.463185,73.857409,Govt Hospital,G.M.C. Bambolim,8322458700,8322458715,,,1160,,,,,,,
15.451687,73.924077,Govt Hospital,R.H.T.C. Mandur,8322208046,,,,20,,,,,,,
15.452390,73.860830,Govt Hospital,I.P.H.B. Bambolim,8322449144,,,,190,,,,,,,
15.476067,73.843935,Govt Hospital,UHC St. Cruz.,8322449144,,,,0,,,,,,,
15.493541,73.818685,Semi Hospital,"Military Hospital, Panaji",0,,,,27,,,,,,,
15.404721,73.819095,Semi Hospital,"I.N.S. Jeevanti, Vasco.",0,,,,84,,,,,,,
15.395900,73.810382,Semi Hospital,South Central Railway Vasco.,0,,,,0,,,,,,,
15.267091,73.965538,Semi Hospital,"ESI, Margao",0,,,,10,,,,,,,
15.402991,73.790805,Semi Hospital,"MPT, Vasco. ",8322521377,,,,100,,,,,,,
15.321761,74.020182,Other Hospital,Shri. Kamaxidevi Homoeopathic Medical Collge & Hospital,8322306842,,skhmchgoa98@hotmail.com,,25,,,,,,,
15.330595,74.020287,Other Hospital,Gomantak Ayurveda Mahavidyalaya & Research Centre,8322306309,,ayrugoa@rediffmail.com,,100,,,,,,,
