Latitude,Longitude,Name,Principal,Mobile,Email,Capacity,Panchayat
15.107120,74.148490,"Don Bosco Farm High School, Sulcorna, Rivona, Quepem",Fr. Constantine Fernandes,8550995113,dbfhssulcorna@gmail.com,281,Caurem
15.194080,74.095020,"G.P.S. Kumbarwada, Sirvoi",Lalita H Bamane,7350974063,lalitabamne@gmail.com,37,Quepem
15.404390,73.793940,"Murgaon High School, Headland Sada, Mormugao",Shri Tulshidas P. Dessai,,mhschool03@rediffmail.com,555,Mormugao
15.215160,74.086370,"G.P.S. Deumol, Sirvoi",Suvas Borkar,9881811709,suvas.borkar1965@gmail.com,18,Quepem
15.404390,73.793940,"Murgaon Primary School, Headland Sada, Vasco",Shri Tulshidas P. Dessai,9823661624,mhschool03@rediffmail.com,425,Mormugao
15.406200,73.793780,"Yuwak Sangh High School, Headland Sada, Vasco-da-Gama",Mrs Urmila D. Pawar,,yuwaksanghhighschool@gmail.com,115,Mormugao
15.495540,73.872820,"Union High School, Chimbel, Tiswadi Goa",Nirmala Naik,9881921017,unionhighschool@yahoo.com,109,Chimbel
15.219090,74.074740,"G.P.S. Katta, Amona",Sarojini H Dessai,7448169339,sarojinidessai52@gmail.com,60,Quepem
15.406210,73.793780,"Yuwak Sangh Pry School, Sada, Vasco",Mrs. Kanchan R. Kudapkar,9822872526,yuwaksanghhighschool@gmail.com,53,Mormugao
15.495540,73.872820,"Union Primary School, Chimbel",Mahadev S. Salam,9405223259,unionhighschool@yahoo.in,98,Chimbel
15.406710,73.791720,"Late Narendra A. Mayekar, Govt. High School,Headland, Sada,",Mrs Terza C. Andrade,,governmenthighschoolsadasmailbox@rediffmail.com,89,Mormugao
15.406700,73.791720,"Late Narendra A. Mayekar, Govt. High School,Headland, Sada,",Mrs. Suchita S. Gad,7020962027,suchisanj7@gmail.com,72,Mormugao
15.491480,73.890660,"The Gera School, Panelim Village , Old Goa",Mr.Siddesh Dongrikar,9130015739,administration@thegeraschool.com,392,Chimbel
15.409270,73.785480,"Deepvihar Higher Secondary School, Headland Sada, Vasco",Shri Mrunal K. Korgaonkar,,deepviharhhs46@gmail.com,466,Mormugao
15.409350,73.792830,"Deepvihar Primary School, Sada, Vasco",Mrs. Sharlet Furtado,,dvps1980@gmail.com,554,Mormugao
15.411070,73.787860,"Deepvihar High School, Headland Sada,",Mrs. Bina R. shetye,,deepvihar85@gmail.com,753,Mormugao
15.147660,74.223620,G.P.S. Vadem,Kalpesh velip,9423141671,velipkalpesh622@gmail.com,12,Bhati
15.121260,74.206740,"G.P.S. Vadem, Col. No.2",Dulan panchwadkar,9420974487,panchwadkarulan@gmail.com,24,Curdi
15.090460,74.222520,G.P.S. Bandwada,Sangita S. Sawaikar,9420161255,sangitasavaikar15@gmail.com,33,Neturlim
15.056500,74.256870,G.P.S. Tudov,Gagesh R. Velip,9049690693,gageshvelip151@gmail.com,13,Neturlim
15.209230,74.146930,"G.P.S. Deulamol, Malkarnem",Sandhya velip,8208619967,sandhya.gnkr@gmail.com,35,Uguem
15.189150,74.144000,"G.P.S. Molkopona, Malkarnem",Navu kulekar,9764242026,kulekarnavu@gmail.com,23,Molcornem
15.210980,74.146570,G.P.S. Kotharli,Sushma naik,9822685570,dessaisulochana27@gmail.com,35,Uguem
15.474736,73.963761,G.P.S. Bhoma,Chitra C. Chodankar,8830925640,g.p.sbhoma12@gmail.com,81,Bhoma-Adcolna
15.483191,73.959549,"Mahanandu G. Naik Mem. High School, Banastarim, Bhom",Mrs. Medha Y Desai,8698819577,mahananduschool@rediffmail.com,221,Bhoma-Adcolna
15.489212,73.960045,"G.P.S. Muslimwada, Bhoma",Mrs Dipa D. Naique ,9423883195,dnaik8659@gmail.com,72,Bhoma-Adcolna
15.488528,73.960412,"G.P.S. Adcolna, Banastari",Mrs. Shamali S. Volvoikar,9158353091,shamalivolvoikar1964@gmail.com,75,Bhoma-Adcolna
15.495106,73.964381,"G.P.S. Wadi, Tivrem",Mrs. Sujata R. Bagi,7620128875,sujatabagi55@gmail.com,19,Tivrem-Orgao
15.502491,73.963032,"G.P.S. Tivrem, Marcela",Dnyaneshwar S. Naik,8788872851,dnyaneshnaik082@gmail.com,28,Tivrem-Orgao
15.152113,73.952698,G.P.S. Marcela,Mrs Manda S Bhagat,9921016294,mandabhagat1967@gmail.com,117,Velim
15.514325,73.956607,"Sharda English High School, Marcela,",Yoganand P. Nagvenkar,9284014644,sharadaesh.marcela@gmail.com,789,Tivrem-Orgao
15.514060,73.956349,"Sharada English Primary School, Marcela.",Yoganand P Nagvenkar,7823038269,sharadaehsmarcela@gmail.com,224,Tivrem-Orgao
15.515704,73.952451,"G.P.S. Tariwada, Marcela",Vimal V. Bhagat,8411000142,vimalbhagat2904@gmail.com,28,Tivrem-Orgao
15.518175,73.953366,"G.P.S. Madapai, Marcela",Sarita Mashalkar,9881810205,Saritamashalkar@gmail.com,21,Tivrem-Orgao
15.515578,73.970698,"Bhumika Day Boarding School, Tivrem, Khandola",Mrs. Revati G. Naik,9158253141,bhumika.dbs@12gmail.com,139,"Betqui, Candola"
15.521710,73.957121,"Govt.Higher Secondary School, Khandola, Marcel",Smt. Rifa Fatima Fernandes ,9763960700,ghsskmarcel@gmail.com,729,Tivrem-Orgao
15.495000,73.875150,"G.P.S. St. Barbara, Chimbel",Mrs Sapana S Teli,7507075869,sapanateli2691@gmail.com,17,Chimbel
15.425910,73.898270,"St. Lawrence Primary School, Agassaim.",Ms.Lona Da Silva,9850812355,stlawrenceagassaim@gmail.com,185,Sao Lourence(Agassaim)
15.425910,73.898270,"St. Lawrence High School, Agassaim,",Ms.Lona Da Silva,9850812355,stlawrenceagassaim@gmail.com,224,Sao Lourence(Agassaim)
15.433750,73.899420,"Little Angels Primary School , Agassaim",Mrs.Sherryl C Pereira,9527804720,sherylcvazpereira@gmail.com,25,Sao Lourence(Agassaim)
15.444280,73.881120,"St. Andrew’s High School, Goa Velha,",Ms.Shipra Gracias ,7796681961,standrewshighschoolgoa.@gmail.com,452,St. Andre
15.444110,73.881820,G.P.S. Goa Velha,Mrs. Meera Veluskar,9922094618,meeraveluakar1964@gmail.com,37,St. Andre
15.444210,73.880310,"Fairyland Primary School, Batim, Tiswadi.",Mr. Bryan Pegado,9823121616,fairyprimary@gmail.com,172,St. Andre
15.453810,73.892050,"Fairy Land High School, Goa Velha, Tiswadi",Ms. Maria Cyena B Pegado,9326100376,fairygoa@gmail.com,191,Batim
15.444740,73.881120,"Popular High School, Goa Velha, Tiswadi.",Mrs. Vandita Lawande,9284369602,popularenglishschool@gmail.com,124,Batim
15.436920,73.900920,"G.P.S. Sulabhat, Agacaim",Shreya S Talkar,9881239539,talkarshreya@gmail.com,20,Sao Lourence(Agassaim)
15.488450,73.872770,"Govt.High School, Kirlawada, Chimbel.",Jyotsna Sarin,8308180876,ghskirlawadachimbel@gmail.com,127,Chimbel
15.492700,73.875360,"G.P.S. Kirlawada, Chimbel",Neha Rane,9765843454,ghskirlawadachimbel@gmail.com,68,Chimbel
15.489180,73.933490,"Smt. Sunandabai Bandodkar High School, Carambolim",Mr Subodh Mahale,9823918453,sbhskarmali@gmail.com,174,Carambolim
15.483740,73.934030,"Jesus & Mary Sarvajanik High School, Carambolim",Sr. Lavita Fernandes,9765497253,jmsarvajanik@gmail.com,325,Carambolim
15.483900,73.934440,"Jesus & Mary Sarvajanik Primary School, Carambolim",Sr.Lavita Fernandes ,9765497253,jmsarvajanik@gmail.com,281,Carambolim
15.483610,73.933230,G.P.S. Carambolim,Deepti D Gauns,9421743440,nirmalagauns@gmail.com,92,Carambolim
15.497910,73.935630,"Madkaikar Navchaitanya High School, Corlim, Ilhas,",Mrs. Preeti Siddarkar,9423810534,madkaikarhighschool@yahoo.in,590,Corlim
15.497910,73.935730,"Madkaikar Trust, K.G. & Primary School, Corlim",Mrs Preeti R Siddarkar ,9423810534,mdkps2010@gmail.com,333,Corlim
15.527755,73.957135,"G.P.S. Amayawada, Khandola",Shital Sandeep Naik,9763756575,shitalnaiksawal@gmail.com,16,"Betqui, Candola"
15.520882,73.965555,"G.P.S. Gaonkarwada, Khandola",Rajeshri S Gad,8308379945,rajeshrinaik01@gmail.com,111,"Betqui, Candola"
15.541353,73.963718,"G.P.S. Haldanwada, Khandola",Pratibha K Salelkar,9075303105,pratibha01naik@gmail.com,34,"MDR20, Piligao, Goa 403505, India"
15.513029,73.979860,"G.P.S. Wadi, Betqui",Ankita M Kundaikar,9637068648,ankitakundaikar92@gmail.com,32,"Betqui, Candola"
15.506728,73.990740,G.P.S. Betqui,Namita  Dattaguru Kambli,9420768202,namitakambli53@gmail.com,22,"Betqui, Candola"
15.443921,73.947922,"G.P.S. Dharjo, Kundaim",Mrs Pooja Phadte,9764630415,poophadte23@gmail.com,17,Kundaim
15.515801,73.964370,"Lokvishwas Pratisthan's Special School for Mentally Challanged Children, Khandola, Marcela-Goa",Mrs Shobha Gawas,9420975422,shobha7634@gmail.com,24,"Betqui, Candola"
15.401670,74.002140,"A.J. De Almeida High School, Ponda",Santana Pinheiro e Colaco,9527609364,almeidahsponda@gmail.com,2152,Ponda
15.401150,74.002780,"GVM's Utkarsh Vidyamandir, Dada Vaidhya Sankul, P.B. No. 10, Ponda",Mrs.Srabonee Thakar,7249279231,gvmuvm11@gmail.com,255,Ponda
15.401090,74.002850,"GVM's Adarsh Higher Secondary School, Ponda",Avdhut Kamat,9049847454,gvmsadarshhss2017@gmail.com,81,Ponda
15.400850,74.003170,"G.V.M.’s K.G./Primary School, Ponda (English)",Maria E Pires,9765509992,gvmsprimary.engmed@gmail.com,1431,Ponda
15.400850,74.003120,"G.V.M.’s K.G./Primary School, Ponda (Marathi)",Shobhana mether,9923838550,gvmsprimaryengmed@gmail.com,335,Ponda
15.397720,73.999330,"G.P.S. Khadpaband, Ponda",Durga painginkar,9049984412,riyapaiginkar7@gmail.com,24,Ponda
15.386980,74.002130,"Smt. Indirabai V. Bhat Dhavalikar High School, Dhavalim",Vivek pendse,9860716250,sssivbdhs@gmail.com,533,Quela
15.385840,74.003020,"Shri Shantadurga Shikshan Samiti’s Primary School, Dhavalim,",Manisha A. Upadhye,9545398209,manisha27upadhye@gmail.com,179,Quela
15.399360,74.013940,"G.P.S. Juna Bazar, Ponda",Suvidha desai,9822194849,ghsjunabazar@gmail.com,176,Ponda
15.399360,74.013920,"G.P.S. Juna Bazar, Ponda",Neeta G.Naik,8390700122,neeta0204pednekar@gmail.com,93,Ponda
15.552460,74.027300,G.P.S. Harvalem Lower,Swati Kamble,9673884602,swatipavar85@gmail.com,40,Sanquelim
15.399360,74.025050,"G.P.S. Padel, Betoda",Neeta D. Naik,9423813665,neetalnaik.72@gmail.com,57,Curti-Khandepar
15.384470,74.026140,"Jamiya -E-Maqbuliya High School, KGN Nagar, Karaswada , Betoda",Asharaf solkar,9822130476,jamiyaschoolponda@gmail.com,136,Betora-Nirancal
15.384440,74.026140,"Jamiya - E- Maqbuliya Primary School, KGN Nagar, Dattagad Betoda",Asharaf solkar,9822130476,jamiyaschoolponda@gmail.com,106,Betora-Nirancal
15.384480,74.026010,"G.P.S. Dattagad, Betoda",Mukta T. Naik,9823429567,naikmukta2014@gmail.com,59,Betora-Nirancal
15.386150,74.026930,"Husn Maqil English Medium High School, Betoda-Ponda",Nazarana Bi,7841026106,husmaqil.hs.betorda21@gmail.com,64,Betora-Nirancal
15.387810,74.025050,"Govt. High School, Betoda, Ponda",Neeta Naik,7972320844,ghbethora@gmail.com,319,Betora-Nirancal
15.376400,74.030150,"G.P.S. Talyewada, Betora",Geeta G.Dhargalkar,8668523036,geetageeta@gmail.com,27,Betora-Nirancal
15.399360,74.013970,"Govt. High School, Juna Bazar, Ponda.",Suvidha desai,9822194849,ghsjunhabazar@gmail.com,176,Ponda
15.387810,74.025050,"Sahara Muslim Welfare at KGN Nagar, Kasarwada,Betoda",Sapna Prabhu,8788706244,hskps@gmail.com,139,Betora-Nirancal
15.466990,73.994960,"G.P.S. Amarkhane, Querim",Sarita Ramdas Naik,9309544202,naiksarita197@gmail.com,13,Querim
15.458260,73.999700,"G.P.S. Satode, Querim",Amita T. Gaude,9765224759,amitagaude77@gmail.com,9,Querim
15.501700,73.997940,"G.P.S. Ghano, Savoi -Verem",Mrs Swapnali S Volvoikar,9422966676,swapnalivolvoikar5@gmail.com,15,"Verem,Vaghurme"
15.490120,74.007860,"Krishna Raghunath Shetye Savoikar High School, Savoi-Verem",Mr. Perpetna Fernandes,9822195163,krsshs27@yahoo.com,292,Volvoi
15.497960,73.935800,"Corlim Educational Society's Madkaikar Higher Secondary Schoolof Arts & Science, Corlim, Tiswadi",Mrs.Ambuja A Dessai,8975477008,madkaikar.hss@gmail.com,141,Corlim
15.498210,73.938030,"G.P.S. Mangado, Corlim",Mrs.Chhaya N Naik,9765492597,chhayagodkar11@gmail.com,93,Corlim
15.494200,73.945480,"G.P.S. Dhulapi, Corlim",Mrs. Geeta L Rane,9673817785,geeta.rane2708@gmail.com,100,Corlim
15.498730,73.928720,"G.P.S. Malar, Corlim",Sima Gaonkar,9923325291,simagaonkar79@gmail.com,52,Corlim
15.499500,73.883580,G.P.S. St. Pedro,Manisha M Naique,9403965838,manishanaik1970@gmail.com,38,Chimbel
15.503240,73.865980,"Balbharati Vidyamandir, Ribandar, Tiswadi",Mrs.Apolonia Fernandes ,9822473510,bbrm1962@rediffmail.com,627,Panaji
15.479790,73.851910,"Merry Angel's Primary School, Merces",Margret Patil,7020858245,margaretpatil@gmail.com,66,Merces
15.444770,73.879330,"Immaculate Heart of Mary Primary School, Goa Velha, Ilhas",Sr.Anita D'silva,8975321609,ihmhsgoavelha@gmail.com,168,St. Andre
15.192040,74.047960,"G.P.S. Bamnabhat, Ambaulim",Smt Priya Naik,9764533052,priyanaik2310@gmail.com,37,Ambaulim
15.224410,74.145830,G.P.S. Vorcotto,Sulochana naik Gaonkar,9822685570,dessaisulochana27@gmail.com,13,Sanguem
15.444770,73.879330,"Immaculate Heart of Mary High School, Goa Velha",Sr. Anita D'silva ,8975321609,ihmhsgoavelha@gmail.com,352,St. Andre
15.228590,74.184980,G.P.S. Uguem,Kanchan pednekar,8975337564,kanchannaik1964@gmail.com,20,Uguem
15.443460,73.872720,"Montessori School, Goa Velha, Tiswadi.",Marianinha D'souza,8767748437,montessoriprimaryschoolgu@gmail.com,119,St. Andre
15.228590,74.184980,"Govt. High School, Valkini, Sanguem. 403 704.",Seema Gaonkar ,9404435647,gseema331@gmail.com,111,Uguem
15.205450,74.222590,"G.P.S. Valkini, Colony No.3",Pranali Gaonkar,9405885040,pranaligaonkar69@gmail.com,18,Bhati
15.428058,74.041212,"G.P.S. Zamole, Khandepar",Saroja Pandit,9822983249,sarojapandit6@gmail.com,22,Curti-Khandepar
15.199320,74.236460,G.P.S. Kongare,Prajwala kolambhar,9637086272,prajwalakolambkar@gmail.com,17,Bhati
15.290680,74.148940,G.P.S. Ambeudak,Milan Velip,9022771754,milanvelip2@gmail.com,7,Sanvordem(Sanguem)
15.294380,74.166940,G.P.S. Devnamol,Ujwala chawan,9673239434,ashwinichavan505@gmail.com,8,Kalay(Kalem)
15.285490,74.180690,"Govt. High School, Kalem, Sanguem. 403 704.",Namrata Gaonkar ,942197750,ghskaley@gmail.com,183,Kalay(Kalem)
15.228500,74.184360,G.P.S. Kalay,Sanseevani Naik,9423059225,sanjeevaninaik25@gmail.com,77,Uguem
15.304430,74.205970,G.P.S. Pokarmol,Samiksha agondekar,9021936632,samikshaagonkar@gmail.com,5,Kalay(Kalem)
15.274720,74.183660,G.P.S. Dudhal,Anjani Naik,9049017462,anjaninaik2017@gmail.com,14,Kalay(Kalem)
15.440420,73.886700,"G.P.S. Dando, Pilar",Swatee E Gauns,7020380376,swatee_gauns@gmail.com,40,St. Andre
15.443030,73.918670,"Shree Dayanand Arya High School, Neura,",Mr. Madhav K .Kharvy,9422740850,shridayanandarya@yahoo.co.in,235,Neura
15.443030,73.918670,"Shri Dayanand Arya Primary School, Neura",Mrs. Megha Borkar,8380592571,shridayanandaryahs@yahoo.co.in,150,Neura
15.444730,73.920060,"Greenlawn School, Neura, Tiswadi.",Aurea R Naronha,992330060,aureateacher@gmail.com,100,Neura
15.438680,73.890130,"Fr. Agnel Central School, Pilar (CBSE)",Fr.Jacob Shally V,77962046610,fragnel.pilar@gmail.com,736,St. Andre
15.385780,74.002460,"Lokvishwas Prathisthan’s Late Meenatai B. Thackre Residential Primary School for Hearing Impaired Children, Dhavali, Ponda-Goa, 403401",Vinod satarker,7350967735,lokpra.goa@gmail.com,14,Quela
15.385230,74.003260,"Lokvishwas Prathisthan’s Virani-Isani High School for Hearing Impaired children, Dhavali, Ponda –Goa,",Vinod satarkar,7350967735,lokpra.goa@gmail.com,42,Quela
15.385230,74.003260,"Lokvishwas Pratishthan's Ismail J.I & Nabad I. Virani School & Home for Visually Impaired children, Dhavali",Vinod satarkar,7350967735,lokpra.goa@gmail.com,39,Quela
15.175280,74.003060,"G.P.S. Madikatta, Cuncolim",Aishwary Gawas,9607030540,yeshdessai28@gmail.com,23,Cuncolim
15.389760,73.995880,"Lokvishwas Pratishthan's Ismail J.I & Nabad I. Virani School & Home for Visually Impaired children, Dhavali",Arvind more,9823591889,lokpra.goa@gmail.com,206,Quela
15.564000,74.045340,G.P.S. Harvalem Upper,Arpana K. Majik,9623532063,arpanamajik77@gmail.com,47,Harvalem
15.389560,73.980390,G.P.S. Talaulim,Geeta G.Naik,9307129832,geetan799@gmail.com,10,Talaulim
15.553400,74.029890,"G.P.S. Pratap Nagar, Harvalem",Binda V. Gawade,8554047318,bindagawade10@gmail.com,20,Sanquelim
15.382220,73.981700,"Lokvishwas Pratishthan's Higher Secondary School, Vocational (H.I.) Dhavli -Ponda",Vinod satarkar,7350967735,lokpra.goa@gmail.com,22,Talaulim
15.556280,74.033010,"Ganesh Vidyalaya, Harvalem, Sankhali",Damodar Malvankar,9765599456,shriganeshv@yahoo.com,146,Harvalem
15.382230,73.981690,"Shree Mahalaxmi Primary School, Talauli, Ponda",Sunanda vasta,9373461128,smehs06.19@gmail.com,134,Talaulim
15.368204,74.013224,"G.P.S. Deulwada, Borim",Bhavana G. Govekar,9764705078,bhavanagovekar83@gmail.com,28,Borim
15.359107,74.002229,"G.P.S. Khazordem, Borim",Milan V Naik,9049350372,smrutisulakar@gmail.com,8,Borim
15.382230,73.981690,"Shree Mahalakshmi English High School, Talaulim,Ponda",Sunanda vasta,9373461123,smehs06.19@gmail.com,210,Talaulim
15.365406,73.987797,"G.P.S. Tamshire, Borim",Bharati P. Pednekar,8788930868,shirokaravi@gmail.com,44,Borim
15.392390,73.988080,"Shri Saraswati Higher Secondary School, Kavalem",Sarita K.Parab,9822130598,shreesaraswati44@gmail.com,191,Quela
15.392560,73.988320,"Shree Saraswati High School, Kavlem,",Sudesh parodkar,8788470391,sshs.1943@rediffmail.com,306,Quela
15.392560,73.988310,"Shree Saraswati Primary School, Kavlem,",Madhavi kapileshwarkar,9921876655,madhavikapileshwarkar@gmail.com,171,Quela
15.393870,73.985560,"Lokmanya Tilak Vidyalaya High School, Kavalem",Madhavi M.Naik,,loktilkhs@gmail.com,240,Quela
15.181870,74.013750,"G.P.S. Takaband, Cuncolim",Swapna S Naik,9834117250,swapnanaiktubki@gmail.com,26,Cuncolim
15.393850,73.985330,"Shantadurga Shikshan Samiti's Hr.Secondary School, Kavlem",Vijayandand Nageshker,8767143306,ssshssk@gmail.com,303,Quela
15.192710,74.009450,G.P.S. Sanvorcatta No.1,Purva Godkar,9923355830,godkarpurva80@gmail.com,21,Cuncolim
15.192790,74.009010,"St. Anthony Primary School, Veroda, Cuncolim",Dorothy Fernnandes,9822584641,stanthonys_h@yahoo.in,126,Cuncolim
15.272950,73.959820,"Holy Spirit Institute, Margao 403 601.",Mrs. Esmeralda Mendes Fernandes,9822428053,hsimarg62@gmail.com,727,Margao
15.271280,74.167630,G.P.S. Costi Kalay,Sulaksha p Dessai,9922647438,sulakshadessai1968@gmail.com,10,Kalay(Kalem)
15.248970,74.170210,"G.P.S. Castimol, Kalay",Sneha S. Gaonkar,9049798575,snehagaonkar48@gmail.com,6,Kalay(Kalem)
15.231940,74.154440,G.P.S. Nondurlem,Amita Dessai,9049017267,amita751986@gmail.com,6,Sanguem
15.227170,74.144730,G.P.S. Dando,Chandrakala Naik,91688430250,Naikchandrakala67@gmail.com,18,Sanguem
15.227780,74.152000,G.P.S. Sanguem,Achut Naik,9822480512,gpskendrasanguemgoa@gmail.com,127,Sanguem
