Latitude,Longitude,Type,Name,Beds,Phone_1,Phone_2,Email_1,Email_2
15.526437,73.834028,PHC,Porvorim,0,8322411991,,phcporvorim-heal.goa@gov.in,
15.583450,73.931592,PHC,Mayem,0,8322225561,,,mayemphc@gmail.com
15.151090,74.019923,PHC,Bali,24,8322670965,8322670216,,phcballi@gmail.com
15.346746,73.896801,PHC,Cansaulim,12,8322754036,,,phccansaulim@gmail.com
15.213231,73.979390,PHC,Chinchinim,0,8322863237,8322862233,,phcchinchinim@gmail.com
15.395273,73.925369,PHC,Cortalim,0,8322550274,,phccortalim-heal.goa@nic.in,cortalimphc@gmail.com
15.291701,74.024354,PHC,Curtorim,12,8322786910,8322786206,,phccurtorimabc@gmail.com
15.338976,73.990645,PHC,Loutolim,0,8322777140,,phcloutolim-heal.goa@nic.in,phc.loutolim@gmail.com
15.422040,73.949720,PHC,Marcaim,12,8322392230,8322392007,phcmarcaim-heal.goa@nic.in,phcmarcaim4033@gmail.com
15.216473,74.078052,PHC,Quepem,24,8322662636,,,phcquepem@rediffmail.com
15.227851,74.154021,PHC,Sanguem,20,8322604017,8322604235,phcsanguem-heal.goa@nic.in,phcsanguem@rediffmail.com
15.325310,74.021562,PHC,Shiroda,24,8322307373,8322306243,,phcshiroda@rediffmail.com
15.417158,74.083018,PHC,"Pillem, Dharbandora",15,0,,phcpillem-heal.goa@nic.in,phcpilliem@yahoo.com
15.393123,74.005687,PHC,Ponda,0,8322319006,,,chcponda@gmail.com
15.256183,73.967097,PHC,Navelim,0,8322710700,,,phcnavelim123@gmail.com
15.279584,73.959658,UHC,Margao,0,8322715004,8322711800,uhcmargao-heal.goa@nic.in,uhcmargao@hotmail.com
15.592950,73.814584,UHC,Mapusa,0,8322262226,,uhcmapusa-heal.goa@nic.in,uhcmapusa@hotmail.com
15.497879,73.826348,UHC,Panaji,0,8322426495,8322421327,uhcpanaji-heal.goa@nic.in,uhcpanaji@hotmail.com
15.402387,73.794232,UHC,Vasco,0,8322513207,8322500606,uhcvasco-heal.goa@nic.in,uhcvasco@hotmail.com
15.279295,73.959585,UHC,Margao,0,8322715004,8322711800,uhcmargao-heal.goa@nic.in,uhcmargao@hotmail.com
15.592975,73.814567,UHC,Mapusa,0,8322262226,,uhcmapusa-heal.goa@nic.in,uhcmapusa@hotmail.com
15.497878,73.826346,UHC,Panaji,0,8322426495,8322421327,uhcpanaji-heal.goa@nic.in,uhcpanaji@hotmail.com
15.402410,73.794225,UHC,Vasco,0,8322513207,8322500606,uhcvasco-heal.goa@nic.in,uhcvasco@hotmail.com
15.463185,73.857409,Govt Hospital,G.M.C. Bambolim,1160,8322458700,8322458715,,
15.451687,73.924077,Govt Hospital,R.H.T.C. Mandur,20,8322208046,,,
15.452390,73.860830,Govt Hospital,I.P.H.B. Bambolim,190,8322449144,,,
15.476067,73.843935,Govt Hospital,UHC St. Cruz.,0,8322449144,,,
15.493541,73.818685,Semi Hospital,"Military Hospital, Panaji",27,0,,,
15.404721,73.819095,Semi Hospital,"I.N.S. Jeevanti, Vasco.",84,0,,,
15.395900,73.810382,Semi Hospital,South Central Railway Vasco.,0,0,,,
15.267091,73.965538,Semi Hospital,"ESI, Margao",10,0,,,
15.402991,73.790805,Semi Hospital,"MPT, Vasco. ",100,8322521377,,,
15.321761,74.020182,Other Hospital,Shri. Kamaxidevi Homoeopathic Medical Collge & Hospital,25,8322306842,,skhmchgoa98@hotmail.com,
15.330595,74.020287,Other Hospital,Gomantak Ayurveda Mahavidyalaya & Research Centre,100,8322306309,,ayrugoa@rediffmail.com,
